HOG	OG	Gene Tree Parent Clade	a99_genome_proteins	c_sorokiniana_genome_proteins	c_variabilis_genome_proteins	c_vulgaris_genome_proteins	m_conductrix_genome_proteins
N1.HOG0000000	OG0000001	n5					PSC72944.1
N1.HOG0000001	OG0000001	n6		PRW33016.1			PSC67170.1
N1.HOG0000002	OG0000001	n7		PRW32527.1			
N1.HOG0000003	OG0000001	n10		PRW44897.1			PSC70961.1, PSC70962.1
N1.HOG0000004	OG0000001	n15					PSC75051.1
N1.HOG0000005	OG0000001	n16					PSC70012.1, PSC75858.1, PSC75652.1, PSC67960.1, PSC68043.1, PSC74541.1, PSC74472.1, PSC70550.1, PSC75027.1, PSC73278.1, PSC68101.1, PSC71940.1, PSC76691.1, PSC74199.1, PSC74200.1, PSC69971.1, PSC75634.1, PSC72491.1, PSC76111.1, PSC69931.1, PSC74026.1, PSC75228.1, PSC68649.1, PSC67793.1, PSC74450.1, PSC76489.1, PSC67850.1, PSC73286.1, PSC70757.1, PSC70172.1, PSC74298.1, PSC67976.1, PSC68457.1, PSC71968.1, PSC70408.1, PSC71764.1, PSC68084.1, PSC75439.1, PSC73791.1, PSC70902.1, PSC70867.1, PSC67146.1, PSC73472.1, PSC68013.1, PSC76472.1, PSC70085.1, PSC76601.1, PSC71289.1, PSC71686.1, PSC74826.1, PSC76069.1, PSC74507.1, PSC76013.1, PSC69411.1, PSC68719.1, PSC68720.1, PSC67142.1, PSC72915.1, PSC73629.1, PSC67107.1, PSC67602.1, PSC68622.1, PSC67910.1, PSC74394.1, PSC70238.1, PSC71372.1, PSC67890.1, PSC75022.1, PSC67614.1, PSC67498.1, PSC68983.1, PSC67492.1, PSC73330.1, PSC74890.1, PSC68576.1, PSC75113.1, PSC73701.1, PSC75697.1, PSC75698.1, PSC68129.1, PSC72436.1, PSC75540.1, PSC69351.1, PSC69859.1, PSC75172.1, PSC75173.1, PSC72032.1, PSC67727.1, PSC70610.1, PSC73039.1, PSC73086.1, PSC73817.1, PSC71196.1, PSC68194.1, PSC71370.1, PSC71093.1, PSC76202.1, PSC76136.1, PSC70182.1, PSC68796.1, PSC74508.1, PSC74552.1, PSC67417.1, PSC67416.1
N1.HOG0000006	OG0000002	n5		PRW61031.1, PRW58690.1			
N1.HOG0000007	OG0000002	n14		PRW60221.1			
N1.HOG0000008	OG0000002	n17					PSC69335.1, PSC67096.1
N1.HOG0000009	OG0000002	n19					PSC67022.1, PSC67038.1
N1.HOG0000010	OG0000002	n21					PSC67053.1, PSC67043.1, PSC67111.1, PSC67031.1, PSC67067.1, PSC67594.1, PSC67073.1, PSC67021.1, PSC67027.1, PSC67037.1, PSC76941.1
N1.HOG0000011	OG0000002	n32		PRW61567.1, PRW61566.1			PSC69379.1, PSC68653.1, PSC67207.1, PSC67713.1, PSC76226.1, PSC76225.1, PSC75096.1, PSC68713.1, PSC67759.1, PSC67744.1, PSC67600.1, PSC69326.1, PSC74416.1, PSC67044.1, PSC74555.1, PSC67725.1, PSC67019.1, PSC74768.1, PSC67580.1, PSC67599.1, PSC68659.1, PSC67063.1, PSC67030.1, PSC73936.1, PSC67709.1, PSC67710.1, PSC68225.1, PSC69623.1, PSC76734.1, PSC67010.1, PSC67032.1, PSC67003.1, PSC75691.1, PSC67636.1, PSC75692.1, PSC68535.1
N1.HOG0000012	OG0000004	n3		PRW57428.1, PRW57192.1, PRW57380.1			
N1.HOG0000013	OG0000004	n7					PSC71135.1
N1.HOG0000014	OG0000004	n8					PSC68309.1
N1.HOG0000015	OG0000004	n26		PRW59210.1			
N1.HOG0000016	OG0000004	n27		PRW60518.1			
N1.HOG0000017	OG0000004	n34		PRW57150.1			PSC68361.1, PSC71032.1
N1.HOG0000018	OG0000004	n37		PRW33058.1			
N1.HOG0000019	OG0000004	n45		PRW32911.1			
N1.HOG0000020	OG0000004	n46					PSC68334.1
N1.HOG0000021	OG0000004	n47		PRW32917.1			PSC71170.1
N1.HOG0000022	OG0000004	n49					PSC71329.1
N1.HOG0000023	OG0000004	n51		PRW32916.1			PSC72335.1
N1.HOG0000024	OG0000004	n52		PRW57532.1			PSC67885.1
N1.HOG0000025	OG0000004	n54					PSC72265.1
N1.HOG0000026	OG0000005	n4		PRW57849.1			
N1.HOG0000027	OG0000005	n7		PRW44271.1			
N1.HOG0000028	OG0000005	n15		PRW44985.1			PSC74168.1
N1.HOG0000029	OG0000005	n16		PRW32834.1			
N1.HOG0000030	OG0000005	n20		PRW33300.1			
N1.HOG0000031	OG0000005	n21		PRW44563.1, PRW05806.1, PRW50860.1, PRW57024.1, PRW60541.1, PRW51177.1, PRW39272.1			
N1.HOG0000032	OG0000005	n36		PRW33991.1			PSC70242.1
N1.HOG0000033	OG0000005	n40		PRW60877.1			
N1.HOG0000034	OG0000005	n42		PRW61238.1, PRW33836.1			
N1.HOG0000035	OG0000005	n47		PRW57831.1, PRW57671.1			
N1.HOG0000036	OG0000005	n50		PRW57695.1			
N1.HOG0000037	OG0000006	n2		PRW57065.1, PRW57021.1, PRW20423.1, PRW32953.1, PRW32875.1, PRW56969.1, PRW20373.1, PRW57122.1, PRW33066.1, PRW56948.1, PRW57339.1			PSC71104.1, PSC71088.1
N1.HOG0000038	OG0000006	n17		PRW32926.1			PSC71227.1, PSC68329.1, PSC68321.1, PSC72080.1, PSC71167.1, PSC72071.1, PSC72098.1, PSC72210.1, PSC72168.1
N1.HOG0000039	OG0000006	n37					PSC69436.1
N1.HOG0000040	OG0000006	n40		PRW50900.1			
N1.HOG0000041	OG0000008	n17		PRW57429.1, PRW56937.1, PRW57408.1, PRW33072.1, PRW20324.1, PRW57308.1, PRW56936.1, PRW33046.1, PRW56968.1, PRW33081.1, PRW32997.1, PRW32979.1, PRW57107.1			PSC72315.1, PSC72134.1, PSC68331.1, PSC68365.1, PSC71283.1, PSC72316.1, PSC72209.1, PSC72107.1, PSC71158.1, PSC71210.1, PSC72154.1
N1.HOG0000042	OG0000008	n46		PRW60378.1			PSC73921.1, PSC75933.1
N1.HOG0000043	OG0000009	n1		PRW57167.1			PSC72060.1
N1.HOG0000044	OG0000009	n18					PSC72347.1
