#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
KAI3426393.1                 -            634 1418at3041           -            464  1.4e-207  689.4   0.1   1   3  1.7e-205  4.8e-202  671.1   0.0     1   401    27   471    27   483 0.93 -
KAI3426393.1                 -            634 1418at3041           -            464  1.4e-207  689.4   0.1   2   3   7.6e-06     0.021   12.9   0.0   395   437   495   544   487   548 0.86 -
KAI3426393.1                 -            634 1418at3041           -            464  1.4e-207  689.4   0.1   3   3     0.022        63    1.5   0.0   435   457   592   625   583   632 0.64 -
SIDB01000002.2666643.2670248 -            500 1418at3041           -            464   5.3e-08   31.4   0.0   1   1   1.2e-10   3.4e-07   28.7   0.0     8   273    34   331    28   434 0.72 -
SIDB01000002.2666486.2670248 -            551 1418at3041           -            464   7.5e-08   30.9   0.0   1   1   1.6e-10   4.6e-07   28.3   0.0     8   273    34   331    28   431 0.72 -
KAI3436854.1                 -            980 1418at3041           -            464   9.8e-07   27.2   0.5   1   3       0.8   2.2e+03   -3.7   0.1    82   107   286   311   281   327 0.85 -
KAI3436854.1                 -            980 1418at3041           -            464   9.8e-07   27.2   0.5   2   3   1.2e-06    0.0035   15.5   0.0   131   206   355   437   337   460 0.82 -
KAI3436854.1                 -            980 1418at3041           -            464   9.8e-07   27.2   0.5   3   3   0.00014      0.39    8.7   0.0   235   309   490   566   474   624 0.72 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/busco_downloads/lineages/chlorophyta_odb10/hmms/1418at3041.hmm
# Target file:     /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/data/chlorella_vulgaris.prot.fasta
# Option settings: hmmsearch --domtblout /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/Busco_vulgaris/run_chlorophyta_odb10/hmmer_output/initial_run_results/1418at3041.out --cpu 1 /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/busco_downloads/lineages/chlorophyta_odb10/hmms/1418at3041.hmm /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco/data/chlorella_vulgaris.prot.fasta 
# Current dir:     /Users/catrionaharrison/Documents/Bioinformatics/rp2/Data/genomes/busco
# Date:            Fri Jul 22 15:32:45 2022
# [ok]
