#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PSC68760.1           -           3755 118at3041            -           2956         0 2593.3  64.3   1  10   1.3e-70   1.9e-67  226.5   0.5    82   376     3   334     1   342 0.86 -
PSC68760.1           -           3755 118at3041            -           2956         0 2593.3  64.3   2  10   1.6e-66   2.4e-63  212.9   0.1   373   761   384   849   359   859 0.77 -
PSC68760.1           -           3755 118at3041            -           2956         0 2593.3  64.3   3  10     7e-09     1e-05   21.7   0.0   749   802   872   924   870   928 0.92 -
PSC68760.1           -           3755 118at3041            -           2956         0 2593.3  64.3   4  10   1.7e-08   2.5e-05   20.4   0.0   839   966  1039  1186  1029  1245 0.74 -
PSC68760.1           -           3755 118at3041            -           2956         0 2593.3  64.3   5  10   1.3e-95   1.9e-92  309.4   3.7  1000  1456  1272  1787  1225  1794 0.83 -
PSC68760.1           -           3755 118at3041            -           2956         0 2593.3  64.3   6  10   5.2e-20   7.5e-17   58.6   0.0  1457  1570  1830  1943  1821  1950 0.81 -
PSC68760.1           -           3755 118at3041            -           2956         0 2593.3  64.3   7  10   3.3e-07   0.00047   16.1   0.0  1546  1625  1961  2047  1952  2089 0.77 -
PSC68760.1           -           3755 118at3041            -           2956         0 2593.3  64.3   8  10   3.4e-69     5e-66  221.8   0.0  1706  1891  2241  2451  2112  2456 0.79 -
PSC68760.1           -           3755 118at3041            -           2956         0 2593.3  64.3   9  10  6.6e-260  9.4e-257  854.6  32.8  1886  2471  2514  3177  2508  3186 0.90 -
PSC68760.1           -           3755 118at3041            -           2956         0 2593.3  64.3  10  10  1.5e-199  2.1e-196  654.4   1.2  2469  2956  3221  3754  3200  3754 0.91 -
PSC74747.1           -           1483 118at3041            -           2956         0 1701.0  42.0   1   3     4e-61   5.7e-58  195.0   0.0  1739  1891    11   179     1   184 0.89 -
PSC74747.1           -           1483 118at3041            -           2956         0 1701.0  42.0   2   3    4e-260  5.7e-257  855.3  31.9  1886  2469   242   903   234   912 0.90 -
PSC74747.1           -           1483 118at3041            -           2956         0 1701.0  42.0   3   3  7.6e-200  1.1e-196  655.3   1.5  2469  2956   949  1482   929  1482 0.91 -
