#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PRW57046.1           -           1480 256at3041            -            948         0 1344.7 106.4   1   4  1.9e-269  1.1e-266  886.8  71.2     2   677    14   820    13   828 0.84 -
PRW57046.1           -           1480 256at3041            -            948         0 1344.7 106.4   2   4   0.00026      0.15    9.3  18.3   652   775   820   954   804   983 0.62 -
PRW57046.1           -           1480 256at3041            -            948         0 1344.7 106.4   3   4  1.1e-137  6.2e-135  450.8   0.9   740   948  1015  1224   980  1224 0.97 -
PRW57046.1           -           1480 256at3041            -            948         0 1344.7 106.4   4   4       1.3   7.4e+02   -2.9   0.1   304   396  1278  1372  1272  1380 0.65 -
PRW32480.1           -           1290 256at3041            -            948   2.4e-84  283.4  94.5   1   4   2.6e-30   1.5e-27   95.4  24.4     9   417    12   440     5   447 0.68 -
PRW32480.1           -           1290 256at3041            -            948   2.4e-84  283.4  94.5   2   4   2.5e-19   1.4e-16   59.0  23.8   341   648   460   789   457   797 0.79 -
PRW32480.1           -           1290 256at3041            -            948   2.4e-84  283.4  94.5   3   4       5.6   3.2e+03   -5.0  27.0   267   423   804   961   791   979 0.69 -
PRW32480.1           -           1290 256at3041            -            948   2.4e-84  283.4  94.5   4   4   4.8e-46   2.8e-43  147.4   0.1   737   931  1058  1264  1025  1275 0.86 -
PRW61562.1           -           1201 256at3041            -            948     5e-55  186.3  84.4   1   3   8.5e-32   4.9e-29  100.3  26.4     5   432     2   451     1   465 0.71 -
PRW61562.1           -           1201 256at3041            -            948     5e-55  186.3  84.4   2   3   1.8e-08     1e-05   23.1  32.7   354   710   430   820   428   828 0.63 -
PRW61562.1           -           1201 256at3041            -            948     5e-55  186.3  84.4   3   3   3.5e-23     2e-20   71.8  18.4   585   926   819  1151   808  1173 0.73 -
PRW61563.1           -           1201 256at3041            -            948     5e-55  186.3  84.4   1   3   8.5e-32   4.9e-29  100.3  26.4     5   432     2   451     1   465 0.71 -
PRW61563.1           -           1201 256at3041            -            948     5e-55  186.3  84.4   2   3   1.8e-08     1e-05   23.1  32.7   354   710   430   820   428   828 0.63 -
PRW61563.1           -           1201 256at3041            -            948     5e-55  186.3  84.4   3   3   3.5e-23     2e-20   71.8  18.4   585   926   819  1151   808  1173 0.73 -
PRW58260.1           -           1263 256at3041            -            948   1.3e-43  148.5  90.0   1   4   8.2e-26   4.7e-23   80.5  22.1     5   362     2   366     1   374 0.78 -
PRW58260.1           -           1263 256at3041            -            948   1.3e-43  148.5  90.0   2   4   1.1e-08   6.5e-06   23.8  32.9   294   663   354   760   345   804 0.72 -
PRW58260.1           -           1263 256at3041            -            948   1.3e-43  148.5  90.0   3   4      0.99   5.7e+02   -2.5  23.9   585   826   805  1054   780  1060 0.70 -
PRW58260.1           -           1263 256at3041            -            948   1.3e-43  148.5  90.0   4   4     6e-16   3.5e-13   47.8   0.0   853   937  1105  1193  1100  1202 0.84 -
PRW44928.1           -           1037 256at3041            -            948   1.9e-31  108.3  22.1   1   3   9.1e-11   5.3e-08   30.7   0.1    10    70     6    66     1    68 0.89 -
PRW44928.1           -           1037 256at3041            -            948   1.9e-31  108.3  22.1   2   3    0.0046       2.6    5.2  23.0   299   500   226   421   220   429 0.74 -
PRW44928.1           -           1037 256at3041            -            948   1.9e-31  108.3  22.1   3   3   4.4e-28   2.5e-25   88.0  18.7   588   941   687  1027   685  1031 0.78 -
PRW44929.1           -           1046 256at3041            -            948   5.6e-27   93.5  90.4   1   3   9.2e-11   5.3e-08   30.7   0.1    10    70     6    66     1    68 0.89 -
PRW44929.1           -           1046 256at3041            -            948   5.6e-27   93.5  90.4   2   3    0.0047       2.7    5.2  23.0   299   500   226   421   220   429 0.74 -
PRW44929.1           -           1046 256at3041            -            948   5.6e-27   93.5  90.4   3   3   1.3e-23   7.7e-21   73.2  24.7   600   941   682  1036   661  1040 0.63 -
PRW20631.1           -           1772 256at3041            -            948   2.1e-08   32.0   6.8   1   3   8.2e-08   4.7e-05   20.9   4.8     6   239   602   823   598   825 0.81 -
PRW20631.1           -           1772 256at3041            -            948   2.1e-08   32.0   6.8   2   3    0.0014      0.83    6.9  10.6   510   720  1154  1357  1140  1369 0.66 -
PRW20631.1           -           1772 256at3041            -            948   2.1e-08   32.0   6.8   3   3     8e-08   4.6e-05   20.9   0.0   848   897  1639  1690  1636  1693 0.84 -
PRW20630.1           -           1763 256at3041            -            948   1.7e-05   22.4   0.0   1   3   8.5e-05     0.049   10.9  18.2     6   268   602   852   598   875 0.82 -
PRW20630.1           -           1763 256at3041            -            948   1.7e-05   22.4   0.0   2   3    0.0016      0.92    6.7  10.7   510   720  1154  1357  1142  1369 0.65 -
PRW20630.1           -           1763 256at3041            -            948   1.7e-05   22.4   0.0   3   3     3e-08   1.7e-05   22.4   0.0   848   900  1639  1693  1636  1730 0.81 -
PRW33583.1           -            465 256at3041            -            948     0.044   11.1  15.3   1   1    0.0001     0.059   10.7  15.3   194   388   184   380   177   404 0.64 -
PRW56336.1           -            192 256at3041            -            948      0.48    7.6  12.7   1   1    0.0014      0.82    6.9  12.7   261   381    20   136     5   154 0.36 -
PRW60894.1           -            151 256at3041            -            948      0.61    7.3   8.1   1   1    0.0011      0.62    7.3   8.1   593   685     5   100     1   138 0.75 -
PRW45720.1           -            439 256at3041            -            948      0.86    6.8   3.9   1   1    0.0019       1.1    6.4   3.9   344   436    24   110    21   140 0.90 -
PRW32838.1           -            542 256at3041            -            948         4    4.6   9.5   1   2    0.0013      0.76    7.0   0.3   563   612     7    56     1    71 0.80 -
PRW32838.1           -            542 256at3041            -            948         4    4.6   9.5   2   2      0.09        52    0.9   3.9   580   656   369   446   353   459 0.57 -
